Time,liquid % in condensor,condensor pressure(kpa),liquid % in reboiler,Mass Flow Rate in Feed Flow  (kg/h),Mass Flow rate in top outlet stream  (kg/h),Net Mass Flow in main tower,Mole Fraction HX at reboiler,HX Mole Fraction in Top Outler Stream,Feed Mole Fraction,Feed Mole Fraction,Feed Tray Temperature,Main Tower Pressure,Bottom Tower Pressure,Top Tower Pressure,Reflux Ratio,Duties Summary,MoleFractionTX,MoleFractionHX
1800,49.99357668,101.2969767,50.12727668,3720.793977,6715.953977,2752.683977,1053.443977,0.054777,0.501001,0.498999,76.83637668,104.4239767,110.4919767,67.31307668,0.810725,0,0.965933,0.0340669
1830,49.76554451,101.0701445,49.90064451,3720.516145,6715.756145,2753.176145,1053.286145,0.054782,0.501001,0.498999,76.60934451,104.1961445,110.2641445,67.08524451,0.810766,0,0.965933,0.0340666
1860,49.59113289,100.8957329,49.72603289,3720.360733,6715.250733,2753.490733,1052.960733,0.0547755,0.501001,0.498999,76.43363289,104.0207329,110.0887329,66.90983289,0.810478,0,0.965932,0.034068
1890,50.44876425,101.7517642,50.58356425,3721.307764,6716.077764,2754.557764,1053.827764,0.0547652,0.501001,0.498999,77.29186425,104.8777642,110.9457642,67.76686425,0.810237,0,0.96593,0.0340704
1920,49.57484908,100.8767491,49.70994908,3720.513749,6715.273749,2753.173749,1052.943749,0.0547569,0.501001,0.498999,76.41674908,104.0037491,110.0717491,66.89284908,0.810086,0,0.965928,0.0340724
1950,50.00160709,101.3017071,50.13740709,3721.030707,6715.770707,2753.200707,1053.390707,0.0547507,0.501001,0.498999,76.84300709,104.4307071,110.4987071,67.31980709,0.810032,0,0.965926,0.034074
1980,49.88494215,101.1821421,50.02144215,3721.074142,6715.764142,2753.414142,1053.214142,0.0547461,0.501001,0.498999,76.72574215,104.3141421,110.3821421,67.20324215,0.810051,0,0.965924,0.0340755
2010,49.7773818,101.0750818,49.9150818,3721.037082,6715.927082,2752.847082,1053.147082,0.0547451,0.501001,0.498999,76.6191818,104.2070818,110.2750818,67.0961818,0.810131,0,0.965924,0.0340763
2040,50.41381744,101.7098174,50.55281744,3721.753817,6716.663817,2753.723817,1053.773817,0.0547478,0.501001,0.498999,77.25491744,104.8438174,110.9118174,67.73291744,0.810251,0,0.965923,0.0340767
2070,50.02904739,101.3277474,50.16984739,3721.359747,6716.529747,2752.849747,1053.429747,0.0547568,0.501001,0.498999,76.87144739,104.4597474,110.5277474,67.34884739,0.810463,0,0.965924,0.0340758
2100,49.96324582,101.2654458,50.10584582,3721.204446,6716.604446,2752.134446,1053.414446,0.0547674,0.501001,0.498999,76.80654582,104.3944458,110.4624458,67.28354582,0.810635,0,0.965926,0.0340743
2130,50.44027995,101.74198,50.58347995,3721.68098,6716.86098,2753.09098,1053.82098,0.054771,0.501001,0.498999,77.28287995,104.87098,110.93898,67.76007995,0.81062,0,0.965925,0.0340745
2160,49.54988398,100.853084,49.69328398,3720.770084,6715.960084,2752.250084,1052.950084,0.0547714,0.501001,0.498999,76.39288398,103.980084,110.048084,66.86918398,0.810481,0,0.965925,0.034075
2190,50.26161426,101.5645143,50.40541426,3721.501514,6716.681514,2754.041514,1053.641514,0.0547719,0.501001,0.498999,77.10451426,104.6915143,110.7595143,67.58061426,0.810429,0,0.965925,0.0340755
2220,50.27070455,101.5732045,50.41450455,3721.540205,6716.650205,2753.660205,1053.710205,0.0547664,0.501001,0.498999,77.11340455,104.7002045,110.7682045,67.58930455,0.810252,0,0.965923,0.0340772
2250,50.3282173,101.6308173,50.4726173,3721.647817,6716.777817,2753.837817,1053.727817,0.0547642,0.501001,0.498999,77.1708173,104.7578173,110.8258173,67.6469173,0.810211,0,0.965922,0.0340781
2280,49.62606538,100.9263654,49.77046538,3721.015365,6715.985365,2753.185365,1052.995365,0.0547578,0.501001,0.498999,76.46846538,104.0553654,110.1233654,66.94446538,0.810074,0,0.96592,0.0340798
2310,49.5162677,100.8168677,49.6613677,3720.965868,6715.995868,2753.075868,1052.915868,0.0547563,0.501001,0.498999,76.3587677,103.9458677,110.0138677,66.8349677,0.810115,0,0.965919,0.0340806
2340,50.1887553,101.4884553,50.3343553,3721.708455,6716.718455,2753.688455,1053.598455,0.0547548,0.501001,0.498999,77.0311553,104.6184553,110.6864553,67.5075553,0.810125,0,0.965919,0.0340812
2370,50.36834713,101.6682471,50.51464713,3721.938247,6717.108247,2753.778247,1053.728247,0.0547547,0.501001,0.498999,77.21084713,104.7982471,110.8662471,67.68734713,0.810161,0,0.965918,0.0340817
2400,50.12974342,101.4285434,50.27644342,3721.769543,6716.869543,2753.819543,1053.389543,0.0547547,0.501001,0.498999,76.97164342,104.5595434,110.6275434,67.44864342,0.810134,0,0.965918,0.0340821
2430,50.23612451,101.5362245,50.38362451,3721.866225,6717.036225,2752.986225,1053.626225,0.0547562,0.501001,0.498999,77.07812451,104.6662245,110.7342245,67.55532451,0.810183,0,0.965918,0.0340823
2460,50.225012,101.525412,50.373512,3721.885412,6717.165412,2753.535412,1053.605412,0.0547613,0.501001,0.498999,77.068012,104.655412,110.723412,67.544512,0.810322,0,0.965918,0.0340822
2490,50.49905788,101.8004579,50.64815788,3722.139458,6717.459458,2753.339458,1053.909458,0.054764,0.501001,0.498999,77.34105788,104.9294579,110.9974579,67.81855788,0.810325,0,0.965918,0.0340823
2520,50.38837221,101.6895722,50.53777221,3722.038572,6717.368572,2753.368572,1053.798572,0.0547647,0.501001,0.498999,77.23137221,104.8185722,110.8865722,67.70767221,0.81029,0,0.965917,0.034083
2550,49.73329488,101.0331949,49.88269488,3721.453195,6716.763195,2753.283195,1053.123195,0.0547642,0.501001,0.498999,76.57589488,104.1631949,110.2311949,67.05229488,0.810238,0,0.965916,0.0340837
2580,49.80642183,101.1073218,49.95622183,3721.526322,6716.856322,2752.926322,1053.246322,0.0547642,0.501001,0.498999,76.64912183,104.2363218,110.3043218,67.12542183,0.810191,0,0.965915,0.0340846
2610,49.85111525,101.1530152,50.00131525,3721.571015,6716.951015,2753.081015,1053.221015,0.054766,0.501001,0.498999,76.69431525,104.2810152,110.3490152,67.17011525,0.810198,0,0.965915,0.0340847
2640,50.0136737,101.3142737,50.1637737,3721.773274,6717.123274,2753.363274,1053.423274,0.0547625,0.501001,0.498999,76.8554737,104.4432737,110.5112737,67.3323737,0.810097,0,0.965914,0.0340857
2670,50.09171358,101.3921136,50.24171358,3721.921114,6717.191114,2753.531114,1053.461114,0.0547594,0.501001,0.498999,76.93311358,104.5211136,110.5891136,67.41021358,0.810002,0,0.965913,0.0340867
2700,50.34638156,101.6469816,50.49678156,3722.205982,6717.545982,2753.665982,1053.665982,0.0547585,0.501001,0.498999,77.18788156,104.7759816,110.8439816,67.66508156,0.809994,0,0.965913,0.0340873
2730,49.91198077,101.2130808,50.06318077,3721.802081,6717.242081,2753.202081,1053.362081,0.05476,0.501001,0.498999,76.75498077,104.3420808,110.4100808,67.23118077,0.810105,0,0.965912,0.0340877
2760,50.34131064,101.6425106,50.49291064,3722.261511,6717.701511,2753.911511,1053.751511,0.0547618,0.501001,0.498999,77.18401064,104.7715106,110.8395106,67.66061064,0.81015,0,0.965912,0.0340879
2790,49.76941727,101.0703173,49.92081727,3721.719317,6717.099317,2752.699317,1053.159317,0.054759,0.501001,0.498999,76.61161727,104.1993173,110.2673173,67.08841727,0.810051,0,0.965911,0.0340891
2820,49.91519462,101.2163946,50.06719462,3721.875395,6717.405395,2753.105395,1053.295395,0.0547623,0.501001,0.498999,76.75759462,104.3453946,110.4133946,67.23449462,0.810138,0,0.965911,0.0340889
2850,50.03730398,101.337304,50.18930398,3722.067304,6717.487304,2754.067304,1053.417304,0.0547623,0.501001,0.498999,76.87970398,104.467304,110.535304,67.35640398,0.810139,0,0.96591,0.0340895
2880,49.96801737,101.2689174,50.12011737,3721.987917,6717.447917,2753.747917,1053.327917,0.0547621,0.501001,0.498999,76.81051737,104.3979174,110.4659174,67.28701737,0.810072,0,0.96591,0.03409
2910,49.78751237,101.0882124,49.93941237,3721.847212,6717.197212,2753.177212,1053.187212,0.0547597,0.501001,0.498999,76.62941237,104.2172124,110.2852124,67.10631237,0.810008,0,0.965909,0.0340911
2940,49.6786277,100.9783277,49.8305277,3721.798328,6717.218328,2753.218328,1053.118328,0.0547583,0.501001,0.498999,76.5208277,104.1083277,110.1763277,66.9974277,0.80998,0,0.965908,0.0340923
2970,49.65351998,100.95472,49.80611998,3721.76372,6717.37372,2752.72372,1053.07372,0.0547616,0.501001,0.498999,76.49641998,104.08372,110.15172,66.97281998,0.810075,0,0.965908,0.0340924
3000,50.07155481,101.3726548,50.22425481,3722.201655,6717.741655,2753.341655,1053.481655,0.0547625,0.501001,0.498999,76.91395481,104.5016548,110.5696548,67.39075481,0.810085,0,0.965907,0.0340926
3030,50.30240573,101.6034057,50.45510573,3722.452406,6718.012406,2753.692406,1053.692406,0.0547631,0.501001,0.498999,77.14450573,104.7324057,110.8004057,67.62150573,0.810063,0,0.965907,0.0340931
3060,49.53315375,100.8340538,49.68575375,3721.703054,6717.263054,2752.993054,1052.913054,0.054763,0.501001,0.498999,76.37525375,103.9630538,110.0310538,66.85215375,0.81004,0,0.965906,0.0340935
3090,50.03454984,101.3354498,50.18714984,3722.22445,6717.77445,2753.47445,1053.42445,0.0547627,0.501001,0.498999,76.87664984,104.4644498,110.5324498,67.35354984,0.810014,0,0.965906,0.0340941
3120,49.99878012,101.2994801,50.15118012,3722.23848,6717.69848,2753.62848,1053.31848,0.0547602,0.501001,0.498999,76.84088012,104.4284801,110.4964801,67.31758012,0.809948,0,0.965905,0.034095
3150,50.45566076,101.7553608,50.60796076,3722.755361,6718.275361,2754.355361,1053.835361,0.0547592,0.501001,0.498999,77.29776076,104.8853608,110.9533608,67.77446076,0.809938,0,0.965904,0.0340958
3180,50.24839265,101.5492927,50.40079265,3722.548293,6718.158293,2753.428293,1053.658293,0.0547591,0.501001,0.498999,77.09059265,104.6782927,110.7462927,67.56739265,0.80994,0,0.965904,0.0340964
3210,50.05458385,101.3555838,50.20718385,3722.384584,6718.024584,2753.304584,1053.424584,0.0547608,0.501001,0.498999,76.89768385,104.4845838,110.5525838,67.37368385,0.809964,0,0.965903,0.0340968
3240,50.39063748,101.6917375,50.54333748,3722.720737,6718.410737,2753.540737,1053.730737,0.0547617,0.501001,0.498999,77.23333748,104.8207375,110.8887375,67.70983748,0.809973,0,0.965903,0.0340968
3270,50.12484929,101.4248493,50.27734929,3722.504849,6718.074849,2753.774849,1053.514849,0.0547609,0.501001,0.498999,76.96734929,104.5548493,110.6228493,67.44394929,0.80999,0,0.965902,0.0340977
3300,50.34203961,101.6420396,50.49443961,3722.75204,6718.39204,2753.93204,1053.80204,0.0547606,0.501001,0.498999,77.18413961,104.7720396,110.8400396,67.66113961,0.809995,0,0.965901,0.0340986
3330,49.65976752,100.9597675,49.81206752,3722.089768,6717.749768,2753.329768,1053.029768,0.054762,0.501001,0.498999,76.50206752,104.0897675,110.1577675,66.97886752,0.809973,0,0.965901,0.0340988
3360,49.71265151,101.0137515,49.86505151,3722.152752,6717.812752,2753.432752,1053.022752,0.0547638,0.501001,0.498999,76.55565151,104.1427515,110.2107515,67.03185151,0.809995,0,0.965901,0.0340987
3390,50.21460997,101.51571,50.36690997,3722.67471,6718.35471,2754.27471,1053.57471,0.0547642,0.501001,0.498999,77.05820997,104.64471,110.71271,67.53380997,0.810017,0,0.965901,0.0340992
3420,49.63042726,100.9314273,49.78242726,3722.120427,6717.800427,2753.790427,1053.030427,0.0547631,0.501001,0.498999,76.47392726,104.0604273,110.1284273,66.94952726,0.809974,0,0.9659,0.0340998
3450,49.59119034,100.8919903,49.74279034,3722.10099,6717.73099,2753.28099,1052.95099,0.0547607,0.501001,0.498999,76.43469034,104.0209903,110.0889903,66.91009034,0.809887,0,0.965899,0.0341008
3480,49.77478815,101.0755881,49.92608815,3722.314588,6718.004588,2753.184588,1053.194588,0.0547597,0.501001,0.498999,76.61758815,104.2045881,110.2725881,67.09368815,0.809864,0,0.965898,0.0341015
3510,49.5029996,100.8039996,49.6543996,3722.053,6717.743,2753.173,1052.873,0.0547615,0.501001,0.498999,76.3450996,103.9329996,110.0009996,66.8220996,0.80991,0,0.965898,0.0341016
3540,49.91459326,101.2142933,50.06539326,3722.514293,6718.134293,2753.604293,1053.274293,0.0547589,0.501001,0.498999,76.75629326,104.3442933,110.4122933,67.23339326,0.809846,0,0.965898,0.0341025
3570,49.52687629,100.8278763,49.67777629,3722.146876,6717.966876,2752.946876,1052.946876,0.0547602,0.501001,0.498999,76.36967629,103.9568763,110.0248763,66.84597629,0.809892,0,0.965897,0.0341027
3600,50.20951959,101.5118196,50.36071959,4172.02982,6718.58982,2754.04982,1053.55982,0.0547651,0.501001,0.498999,77.05221959,104.6398196,110.7078196,67.52891959,0.809968,0,0.965898,0.034102
3630,50.3947973,101.4078973,50.7163973,4185.777897,7279.967897,2699.447897,1047.987897,0.0585538,0.501001,0.498999,77.1436973,104.8678973,110.9358973,67.7569973,0.836543,0,0.966055,0.0339448
3660,49.6971108,100.7629108,50.3006108,4181.189911,7354.439911,2706.289911,1057.109911,0.0638723,0.501001,0.498999,76.4194108,104.1699108,110.2379108,67.0590108,0.841266,0,0.966172,0.0338282
